arquivo,tamanho_bytes,total_palavras,palavra,algoritmo,threads,repeticao,ocorrencias,tempo_ms
DonQuixote-388208.txt,2225840,386868,the,ParallelCPU,4,4,188,1.087700
DonQuixote-388208.txt,2225840,386868,the,ParallelCPU,4,5,188,1.959300
DonQuixote-388208.txt,2225840,386868,the,ParallelCPU,8,1,188,2.770200
DonQuixote-388208.txt,2225840,386868,the,ParallelCPU,8,2,188,13.387500
DonQuixote-388208.txt,2225840,386868,the,ParallelCPU,8,3,188,1.268300
DonQuixote-388208.txt,2225840,386868,the,ParallelCPU,8,4,188,1.643500
DonQuixote-388208.txt,2225840,386868,the,ParallelCPU,8,5,188,1.372800
DonQuixote-388208.txt,2225840,386868,the,ParallelGPU,0,1,188,78.351800
DonQuixote-388208.txt,2225840,386868,the,ParallelGPU,0,2,188,78.206100
DonQuixote-388208.txt,2225840,386868,the,ParallelGPU,0,3,188,78.747400
DonQuixote-388208.txt,2225840,386868,the,ParallelGPU,0,4,188,81.091700
DonQuixote-388208.txt,2225840,386868,the,ParallelGPU,0,5,188,78.930200
